Sign Index,,,
Sign Image,Description,Sign Code,Size (W x H)
,TES13699 or RX-11,13699,1200 x 1650
,Railway Crossing Position With Target Board 2 Tracks Stop Look For Trains,13908(2),750 x 1800
,Event Parking restrictions,19086,1200 x 1650
,Stadium Parking,19120,1200 x 1650
,Red Stop Disc Signal (Operational Tram Sign),332-A3-11-2423,230 x 230
,Compulsary Stop (Operational Tram Sign),CS2-DRG-352357,450 x 300
,Stopping Place (Operational Tram Sign),CS2-DRG-352358,450 x 300
,Start Single Line Working (Operational Tram Sign),CS2-DRG-352359,550 x 450
,End Single Line Working (Operational Tram Sign),CS2-DRG-352360,550 x 450
,Induction Loop (Operational Tram Sign),CS2-DRG-352361,300 x 450
,Sound Bell (Operational Tram Sign),CS2-DRG-352362,450 x 400
,Fouling Point (Operational Tram Sign),CS2-DRG-352363,450 x 300
,Shunt Limit (Operational Tram Sign),CS2-DRG-352364,450 x 300
,Unidirectional Hazard Marker,D4-1-1B D4-1-1A,"3200 x 800
1600 x 400"
,Unidirectional Hazard Marker,D4-1-2B D4-1-2A,"600 x 600
450 x 450"
,Bidirectional Hazard Marker,D4-2-2B D4-2-2A,"400 x 1000
300 x 750"
,Bidirectional Hazard Marker (for larger size use D4-SA2- 1),D4-2-3B D4-2-3A,"3200 x 800
1600 x 400"
,Width Marker (L or R) (left shown),D4-3A D4-3B,"225 x 450
450 x 900"
,Obstruction Marker,D4-5,1800 x 400
,Chevron Alignment Marker,D4-6S D4-6A D4-6B D4-6C,"450 x 600
600 x 750
750 x 900
900 x 1125"
,Chevron Median Marker,D4-SA100C D4-SA100B D4-SA100A,"200 x 1200
150 x 1200
100 x 1200"
,Vertical Chevron Marker,D4-SA101,150 x 900
,Unidirectional Hazard Board,D4-SA1-1,2400 x 400
,Hazard Marker For Convex Nose Assembly on a Low Maintenance Attenuator ONLY,D4-SA1-4,1000 x 450
,Bidirectional Hazard Board,D4-SA2-1,2400 x 400
,BidirectionalHazard Marker (Smaller),D4-SA2-S,400 x 600
,Obstruction Board,D4-SA5 D4-5,"2400 x 400
1800 x 400"
,Hazard Marker For Type F Concrete Safety Barrier ONLY,D4-SA50-1,240 x 445
,Hazard Marker for VCB Concrete Safety Barrier or Temporary Bollard,D4-SA50-2,150 x 450
,Width Marker for ET2000 Terminal Ends (L or R) (right shown),D4-SA51-1,350 x 700
,Width Marker for SKT Terminal (LorR) (right shown),D4-SA51-2,490 x 490
,Disability Access Arrow Symbol,DA-1,250 x 250
,Disability Access Train Symbol,DA-101,250 x 250
,Disability Access Zone X Symbol,DA-102,600 x 450
,Disability Access Bus Symbol,DA-2,250 x 250
