ID,Category,Subcategory,Hazard,Trigger/Context,Potential Consequence,Likelihood,Risk Rating,Controls / Mitigation,Controls Hierarchy,Monitoring / Verification,Responsible Role,Reference,Residual Risk
TF1,Traffic Flow & Vehicle Interaction,,Rear-end collision at taper,,Serious injury / fatality,Possible,High,"Advance warning signs, taper length per AGTTM, VMS board","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Medium
TF2,Traffic Flow & Vehicle Interaction,,Head-on collision due to wrong lane closure,,Fatality,Rare,High,"Correct signage, barriers, delineation","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
TF3,Traffic Flow & Vehicle Interaction,,Side-swipe at merge,,Injury,Possible,Medium,"Adequate taper length, lane status signage","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
TF4,Traffic Flow & Vehicle Interaction,,High-speed vehicle intruding into worksite,,Fatality,Possible,Extreme,"Barriers, attenuator truck, controller at access","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Medium
TF5,Traffic Flow & Vehicle Interaction,,Poor sight distance (crest/curve),,Collision,Likely,High,"Place signs in advance, adjust taper lengths","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Medium
TF6,Traffic Flow & Vehicle Interaction,,Queue spillback into upstream intersection,,Secondary crash,Possible,High,"Queue management, VMS warning upstream","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Medium
TF7,Traffic Flow & Vehicle Interaction,,Oversized vehicle unable to navigate detour,,Collision/property damage,Rare,Medium,Detour check for heavy vehicles,"['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
PC1,Pedestrian & Cyclist Safety,,Pedestrian enters live traffic,,Serious injury,Likely,High,"Barriers/fencing, clear detour, marshals","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
PC2,Pedestrian & Cyclist Safety,,Cyclist forced into vehicle lane,,Serious injury,Possible,High,"Temporary bike detour, signage","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
PC3,Pedestrian & Cyclist Safety,,No accessible path for disabled users,,Discrimination / Injury,Likely,Medium,Provide compliant ramps and surfaces,"['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
PC4,Pedestrian & Cyclist Safety,,Pedestrian crossing plant access path,,Collision,Possible,Medium,"Spotter, barriers, crossing controls","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
PC5,Pedestrian & Cyclist Safety,,Cyclist hits loose gravel at work zone,,Injury,Possible,Medium,"Maintain clean shoulders, sweeping","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
WS1,Worker Safety,,Worker struck by passing vehicle,,Fatality,Possible,Extreme,"Barriers, buffer zones, HI-VIS PPE","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Medium
WS2,Worker Safety,,Worker hit by reversing plant,,Serious injury,Possible,High,"Spotters, reversing alarms, exclusion zones","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
WS3,Worker Safety,,Fatigue from long shifts/heat,,"Reduced alertness, accidents",Possible,Medium,"Shift rotation, hydration, breaks","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
WS4,Worker Safety,,Worker slips/trips in site,,Minor injury,Likely,Low,"Site housekeeping, lighting","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
WS5,Worker Safety,,Inadequate prestart induction,,Unsafe work practices,Possible,Medium,"Toolbox talks, sign-off sheets","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
PE1,Plant & Equipment,,Portable traffic lights fail,,Crash / confusion,Rare,High,"Redundancy plan, backup controllers","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
PE2,Plant & Equipment,,Attenuator truck not positioned,,Worker injury,Possible,High,"Correct vehicle setup, training","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
PE3,Plant & Equipment,,VMS board incorrectly angled,,Reduced driver compliance,Possible,Medium,"Supervisor check, reposition","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
PE4,Plant & Equipment,,Lighting towers cause glare,,Driver confusion,Possible,Medium,"Angle lights away, shields","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
PE5,Plant & Equipment,,Wind blows cones/signs,,Site ineffective,Likely (in storms),Medium,"Sandbags, heavy bases","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
EN1,Environmental,,Fog or rain reduces visibility,,Collision risk,Likely,High,"Extra lighting, reflective devices","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Medium
EN2,Environmental,,Flooding detour route,,Crash / detour blocked,Rare,High,"Contingency route, weather monitoring","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
